code,name
62.01,Разработка компьютерного программного обеспечения
62.01,разраб. компьютерного программного обеспечения
62.1,разраб. компьютерного ПО
62.01,РАЗРАБОТКА КОМПЬЮТЕРНОГО ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ
62.01,Разработка программного обеспечения системного уровня
62.01,разраб. ПО системного уровня
62.01,Разработка и тестирование программного обеспечения
62.02,Деятельность консультативная в области компьютерных технологий
62.02,деят. консультативная в обл. компьютерных технологий
62.02,Деят. консультативная и работы в обл. компьютерных технологий
62.02,ДЕЯТЕЛЬНОСТЬ КОНСУЛЬТАТИВНАЯ В ОБЛАСТИ КОМПЬЮТЕРНЫХ ТЕХНОЛОГИЙ
62.09,Деятельность в области информационных технологий прочая
62.09,деят. в обл. инф. технологий прочая
62.09,Деятельность в обл. информ. технологий прочая
62.09,деят. в обл. информационных технологий прочая
63.11,Деятельность по обработке данных и размещению информации
63.11,деят. по обработке данных и размещению информации
63.11,Деятельность по обработке данных и размещению информации
63.11,ДЕЯТЕЛЬНОСТЬ ПО ОБРАБОТКЕ ДАННЫХ И РАЗМЕЩЕНИЮ ИНФОРМАЦИИ
63.12,Деятельность web-порталов
63.12,деят. веб-порталов
63.12,Деятельность WEB порталов
63.12,деятельность интернет-порталов
47.91,Торговля розничная через интернет
47.91,торговля розн. через инт.
47.91,ТОРГОВЛЯ РОЗНИЧНАЯ ЧЕРЕЗ ИНТЕРНЕТ
47.91,Торговля розн. по инф.-комм. сети Интернет
47.91,торговля розничная по сети интернет
47.11,Торговля розничная преимущественно пищевыми продуктами
47.11,торговля розн. преим. пищевыми продуктами
47.11,Торговля розн. пищевыми продуктами и напитками
47.11,ТОРГОВЛЯ РОЗНИЧНАЯ ПИЩЕВЫМИ ПРОДУКТАМИ
47.21,Торговля розничная фруктами и овощами
47.21,торговля розн. фруктами и овощами
47.21,Торговля розн. свежими фруктами и овощами
45.11,Торговля автомобилями и легкими автотранспортными средствами
45.11,торговля автомобилями и легкими автотрансп. средствами
45.11,Торговля автомобилями и легк. автотрансп. ср-вами
45.11,ТОРГОВЛЯ АВТОМОБИЛЯМИ И ЛЕГКИМИ АВТОТРАНСПОРТНЫМИ СРЕДСТВАМИ
45.20,Техническое обслуживание и ремонт автотранспортных средств
45.20,тех. обслуж. и ремонт автотрансп. средств
45.20,Техн.-обслуж. и ремонт автотранспортных средств
45.20,техн. обслуживание и ремонт автотрансп. ср-в
41.20,Строительство жилых и нежилых зданий
41.20,стр-во жилых и нежилых зданий
41.20,Стр-во жилых и нежилых зданий и сооружений
41.20,СТРОИТЕЛЬСТВО ЖИЛЫХ И НЕЖИЛЫХ ЗДАНИЙ
41.10,Разработка строительных проектов
41.10,разраб. строительных проектов
41.10,Разраб. и реализация строит. проектов
43.11,Разборка и снос зданий
43.11,разборка и снос зданий и сооружений
43.21,Производство электромонтажных работ
43.21,произв. электромонтажных работ
43.21,Произв. электромонтажных и электротехнических работ
43.21,ПРОИЗВОДСТВО ЭЛЕКТРОМОНТАЖНЫХ РАБОТ
43.22,Производство санитарно-технических работ
43.22,произв. санитарно-тех. работ
43.22,произв. сантехнических работ
72.19,Научные исследования и разработки в области естественных наук
72.19,науч. исслед. и разраб. в обл. естественных наук
72.19,Науч. исследования и разраб. в обл. техн. наук
72.19,научные исслед. и разработки в обл. естественных и техн. наук
72.20,Научные исследования и разработки в области гуманитарных наук
72.20,науч. исслед. и разраб. в обл. гуманит. наук
72.20,Науч. исследования в обл. обществ. и гуманит. наук
85.11,Образование дошкольное
85.11,Образов. дошкольное
85.11,ОБРАЗОВАНИЕ ДОШКОЛЬНОЕ
85.12,Образование начальное общее
85.12,Образов. нач. общее
85.12,образование нач. общее
85.13,Образование основное общее
85.13,Образов. основное общее
85.22,Образование высшее
85.22,Образов. высшее
85.22,образование высшее
85.22,ОБРАЗОВАНИЕ ВЫСШЕЕ
85.30,Обучение профессиональное
85.30,Обучение проф.
85.30,проф. обучение и подготовка
86.10,Деятельность больничных организаций
86.10,деят. больничных орг-ций
86.10,Деят. больничных организаций и стационаров
86.10,ДЕЯТЕЛЬНОСТЬ БОЛЬНИЧНЫХ ОРГАНИЗАЦИЙ
86.21,Общая врачебная практика
86.21,общая врачебная практика и приём
86.22,Специальная врачебная практика
86.22,спец. врачебная практика
86.90,Деятельность в области медицины прочая
86.90,деят. в обл. медицины прочая
49.10,Перевозки железнодорожные пассажирские междугородные
49.10,перевозки ж/д пассажирские междугородные
49.10,Перевозки ж.-д. пассажирские междугородные
49.10,ПЕРЕВОЗКИ ЖЕЛЕЗНОДОРОЖНЫЕ ПАССАЖИРСКИЕ
49.20,Перевозки грузовые железнодорожные
49.20,перевозки грузов ж.-д. транспортом
49.20,Перевозки грузов ж/д транспортом
49.41,Деятельность автомобильного грузового транспорта
49.41,деят. автомобильного грузов. транспорта
49.41,Деят. автомобильного грузового транспорта и услуги по переезду
52.10,Хранение и складирование
52.10,хранение и складирование грузов
52.10,Хранение и складирование грузов и товаров
69.10,Деятельность в области права
69.10,деят. в обл. права
69.10,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ПРАВА
69.20,Деятельность по финансовому аудиту
69.20,деят. по фин. аудиту
69.20,Деят. по финансовому аудиту и бухгалтерскому учёту
70.22,Консультирование по вопросам коммерческой деятельности
70.22,консульт. по вопросам коммерческой деят.
70.22,Консульт. по вопросам управл. и коммерческой деят.
71.11,Деятельность в области архитектуры
71.11,деят. в обл. архитектуры
71.11,Деят. в обл. архитектурного проектирования
71.20,Технические испытания и исследования
71.20,тех. испытания и исследования
71.20,Тех. испытания исследования и анализ
73.11,Деятельность рекламных агентств
73.11,деят. рекламных агентств
73.11,Деят. рекламных агентств и бюро
74.20,Деятельность в области фотографии
74.20,деят. в обл. фотографии
75.00,Деятельность ветеринарная
75.00,деят. ветеринарная
75.00,ДЕЯТЕЛЬНОСТЬ ВЕТЕРИНАРНАЯ
77.11,Аренда и лизинг легковых автомобилей
77.11,аренда и лизинг легковых автомобилей и автотрансп. ср-в
77.33,Аренда и лизинг вычислительной техники
77.33,аренда и лизинг вычислит. тех. и оборудования
78.10,Деятельность агентств занятости
78.10,деят. агентств занятости
78.10,Деят. агентств по трудоустройству и занятости
80.10,Деятельность частных охранных служб
80.10,деят. частных охранных служб
80.10,Деят. частных охранных и сыскных агентств
82.11,Деятельность административно-хозяйственная
82.11,деят. административно-хоз.
84.11,Государственное управление общего характера
84.11,гос. управл. общего характера
84.11,Гос. управл. и обеспечение военной безопасности
90.01,Деятельность в области исполнительских искусств
90.01,деят. в обл. исполнительских искусств
95.11,Ремонт компьютеров и периферийного оборудования
95.11,ремонт компьютеров и периферийного оборудования
95.11,Ремонт и техн. обслуж. компьютеров и периферийного оборудования
96.01,Стирка и химическая чистка текстильных изделий
96.01,стирка и хим. чистка текстильных изделий
10.11,Произв. мяса (кроме мяса птицы)
10.13,Произв. мясных продуктов и полуфабрикатов
10.51,Произв. молока и молочной продукции
10.71,Произв. хлеба и хлебобулочных изделий
10.72,Произв. кондитерских изделий из сахара
13.10,Произв. и подготовка текстильных волокон
14.11,Произв. кожаной одежды и изделий из кожи
16.10,Произв. деревянных стройматериалов
20.11,Произв. технических газов и химических веществ
22.21,Произв. пластмассовых изделий строит. назначения
25.11,Произв. металлических конструкций и изделий
26.20,Произв. компьютеров и периферийного оборудования
26.30,Произв. коммуникационного оборудования
26.51,Произв. инструментов и приборов для измерения
28.11,Произв. двигателей и турбин
29.10,Произв. автомобилей и автотрансп. средств
30.11,Стр-во судов и плавучих конструкций
30.30,Произв. воздушных и косм. аппаратов
35.11,Произв. электроэнергии на тепловых электростанциях
