left_code,left_name,left_description,right_code,right_name,right_description,label
BDU:2024-00892,Уязвимость SSH в Cisco IOS человек посередине,уязвимость ssh cisco атака mitm,BDU:2024-05512,Уязвимость sudo Linux повышение привилегий,уязвимость sudo повышение привилегий до root,0
63.11,Деятельность по обработке данных и размещению информации,,63.11,Деятельность по обработке данных и размещению информации,,1
62.01,Разработка программного обеспечения системного уровня,,62.01,разраб. ПО системного уровня,,1
BDU:2023-05421,уязвимость openssl некорректная обработка данных,уязвимость openssl позволяет вызвать отказ в обслуживании,BDU:2023-05421,УЯЗВИМОСТЬ БИБЛИОТЕКИ OPENSSL,Уязвимость связана с некорректной обработкой входных данных в OpenSSL,1
BDU:2023-01210,Уязвимость функции __get_user_pages_fast() ядра Linux,Уязвимость позволяет повысить привилегии,BDU:2023-08834,Уязвимость веб-сервера Apache HTTP Server,Уязвимость модуля mod_proxy позволяет выполнить произвольный код,0
85.11,Образование дошкольное,,85.12,Образование начальное общее,,0
85.22,Образование высшее,,85.22,образование высшее,,1
49.10,Перевозки железнодорожные междугородные,,49.10,перевозки ж/д междугородные,,1
BDU:2024-07123,Уязвимость службы SMB операционной системы Windows связанная с удалённым выполнением кода,Уязвимость позволяет нарушителю выполнить произвольный код без аутентификации,BDU:2024-07123,уязвимость smb windows удалённое выполнение кода,уязвимость windows smb позволяет выполнить код без аутентификации,1
63.12,Деятельность web-порталов,,63.12,деят. веб-порталов,,1
41.20,Строительство жилых зданий,,43.21,Производство электромонтажных работ,,0
62.01,Разработка компьютерного программного обеспечения,,63.11,Деятельность по обработке данных,,0
62.01,Разработка компьютерного программного обеспечения,Включает разработку системного ПО,62.01,разраб. компьютерного программного обеспечения,,1
BDU:2023-01210,уязвимость функции get_user_pages_fast ядра linux,уязвимость ядра linux позволяет повысить привилегии,BDU:2023-01210,Уязвимость __get_user_pages_fast() ОС Linux,уязвимость ядра linux позволяет повысить привилегии,1
45.11,Торговля автомобилями и легкими автотранспортными средствами,,45.11,торговля автомобилями и легкими автотрансп. средствами,,1
49.10,Перевозки железнодорожные пассажирские,,49.1,перевозки ж.-д. пассажирские,,1
85.13,Образование основное общее,,85.22,Образование высшее,,0
BDU:2023-05421,Уязвимость библиотеки OpenSSL связанная с некорректной обработкой входных данных,Уязвимость позволяет нарушителю вызвать отказ в обслуживании,BDU:2023-05421,уязвимость openssl некорректная обработка данных,уязвимость openssl позволяет вызвать отказ в обслуживании,1
47.91,Торговля розничная через интернет,,52.10,Хранение и складирование грузов,,0
62.09,Деятельность в области информационных технологий прочая,,63.12,Деятельность web-порталов,,0
63.12,Деятельность web-порталов,,63.12,Деятельность WEB порталов,,1
BDU:2023-05421,Уязвимость библиотеки OpenSSL связанная с некорректной обработкой входных данных,Уязвимость позволяет нарушителю вызвать отказ в обслуживании,BDU:2023-05421,УЯЗВИМОСТЬ БИБЛИОТЕКИ OPENSSL,Уязвимость связана с некорректной обработкой входных данных в OpenSSL,1
47.91,Торговля розничная через интернет,,47.9,торговля розн. по сети интернет,,1
72.20,Научные исследования и разработки в области гуманитарных наук,,72.20,науч. исслед. и разраб. в обл. гуманит. наук,,1
43.21,Производство электромонтажных работ,,43.21,произв. электромонтажных работ,,1
86.10,Деятельность больничных организаций,,86.10,деят. больничных орг-ций,,1
47.91,Торговля розничная через интернет,,47.11,Торговля розничная пищевыми продуктами,,0
49.10,Перевозки железнодорожные пассажирские,,49.20,Перевозки грузовые железнодорожные,,0
47.91,Торговля розничная по почте или через интернет,,47.91,торговля розн. по инф.-комм. сети Интернет,,1
BDU:2023-01210,Уязвимость функции __get_user_pages_fast() ядра операционной системы Linux,Уязвимость позволяет нарушителю повысить привилегии и выполнить произвольный код,BDU:2023-01210,УЯЗВИМОСТЬ ФУНКЦИИ GET_USER_PAGES_FAST ЯДРА LINUX,уязвимость ядра linux позволяет повысить привилегии,1
69.10,Деятельность в области права,,69.10,деят. в обл. права,,1
BDU:2024-02341,Уязвимость браузера Google Chrome связанная с использованием памяти после освобождения,Уязвимость компонента WebRTC позволяет нарушителю выполнить произвольный код,BDU:2024-02341,уязвимость google chrome use-after-free webrtc,уязвимость webrtc в chrome позволяет выполнить произвольный код,1
63.11,Деятельность по обработке данных и размещению информации,,63.11,деят. по обработке данных и размещению информации,,1
72.19,Научные исследования в области технических наук,,72.20,Научные исследования в области гуманитарных наук,,0
BDU:2024-05512,уязвимость sudo linux повышение привилегий суперпользователь,уязвимость sudo повышение привилегий до root,BDU:2024-05512,УЯЗВИМОСТЬ КОМПОНЕНТА SUDO LINUX/UNIX,,1
85.11,Образование дошкольное,,85.11,ОБРАЗОВАНИЕ ДОШКОЛЬНОЕ,,1
62.01,Разработка компьютерного программного обеспечения,,47.91,Торговля розничная через интернет,,0
62.02,Деятельность консультативная в области компьютерных технологий,,62.02,деят. консультативная в обл. компьютерных технологий,,1
BDU:2023-05421,УЯЗВИМОСТЬ БИБЛИОТЕКИ OPENSSL,некорректная обработка данных openssl,BDU:2024-05512,УЯЗВИМОСТЬ SUDO LINUX,повышение привилегий sudo,0
BDU:2023-01210,Уязвимость функции __get_user_pages_fast() ядра операционной системы Linux,Уязвимость позволяет нарушителю повысить привилегии и выполнить произвольный код,BDU:2023-01210,уязвимость функции get_user_pages_fast ядра linux,уязвимость ядра linux позволяет повысить привилегии,1
62.01,Разработка программного обеспечения,,62.01,разработка и тестирование программного обеспечения,,1
52.10,Хранение и складирование,,52.10,хранение и складирование грузов,,1
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.11,торговля розн. преим. пищевыми продуктами,,1
62.01,Разработка ПО,,41.20,Строительство жилых зданий,,0
49.10,Перевозки железнодорожные пассажирские,,49.10,Перевозки ж.-д. пассажирские междугородные,,1
62.09,Деятельность в области информационных технологий прочая,,62.09,деят. в обл. инф. технологий прочая,,1
62.02,Консультационные услуги в области IT,,62.09,Деятельность в области IT прочая,,0
85.12,Образование начальное общее,,85.13,Образование основное общее,,0
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.21,Торговля розничная фруктами и овощами,,0
85.11,Образование дошкольное,,85.11,Образов. дошкольное,,1
45.11,Торговля автомобилями и легкими автотранспортными средствами,,45.11,Торговля автомобилями и легк. автотрансп. ср-вами,,1
BDU:2023-11567,Уязвимость компонента BIND DNS-сервера связанная с бесконечной рекурсией,Уязвимость позволяет нарушителю вызвать отказ в обслуживании,BDU:2023-11567,Уязвимость BIND named DNS сервер рекурсия,уязвимость bind dns сервер отказ в обслуживании,1
BDU:2024-03788,Уязвимость менеджера пакетов pip связанная с подменой пакетов,Уязвимость позволяет провести атаку через подмену пакетов в репозитории,BDU:2024-03788,уязвимость pip подмена пакетов supply chain,уязвимость pip атака через подмену пакетов репозиторий,1
72.19,Научные исследования и разработки в области технических наук,,72.19,Науч. исследования и разраб. в обл. техн. наук,,1
62.02,Деятельность консультативная в области компьютерных технологий,,62.09,Деятельность в области информационных технологий прочая,,0
86.10,Деятельность больничных организаций,,85.11,Образование дошкольное,,0
47.91,Торговля розничная через интернет,,47.91,торговля розн. через инт.,,1
72.19,Научные исследования и разработки в области естественных наук,,72.19,науч. исслед. и разраб. в обл. естественных наук,,1
62.01,РАЗРАБОТКА КОМПЬЮТЕРНОГО ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ,,62.01,Разработка компьютерного программного обеспечения,,1
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.11,Торговля розн. пищевыми продуктами и напитками,,1
47.91.2,Торговля розничная через интернет,,47.91.2,Интернет-торговля розничная,,1
62.09,Деятельность в области информационных технологий прочая,,62.09,Деятельность в обл. информ. технологий прочая,,1
BDU:2023-05421,Уязвимость библиотеки OpenSSL,уязвимость openssl позволяет вызвать отказ в обслуживании,BDU:2023-11567,Уязвимость компонента BIND DNS-сервера,уязвимость bind позволяет вызвать отказ в обслуживании,0
62.02,Деятельность консультативная в области компьютерных технологий,,62.02,Деят. консультативная и работы в обл. компьютерных технологий,,1
62.01,Разработка программного обеспечения,,62.02,Деятельность консультативная в области IT,,0
BDU:2024-03788,Уязвимость pip supply chain подмена пакетов,уязвимость pip репозиторий,BDU:2024-07123,Уязвимость SMB Windows RCE,уязвимость smb windows без аутентификации,0
BDU:2023-11567,Уязвимость компонента BIND DNS-сервера связанная с бесконечной рекурсией,Уязвимость позволяет нарушителю вызвать отказ в обслуживании,BDU:2023-11567,уязвимость dns-сервера bind бесконечная рекурсия,уязвимость named в bind позволяет вызвать отказ в обслуживании,1
63.11,Деятельность по обработке данных,,63.12,Деятельность web-порталов,,0
49.10,Перевозки железнодорожные,,52.10,Хранение и складирование,,0
BDU:2024-02341,Уязвимость Chrome WebRTC use-after-free,уязвимость webrtc chrome выполнение кода,BDU:2024-07123,Уязвимость SMB Windows удалённое выполнение кода,уязвимость smb windows rce,0
47.11,Торговля пищевыми продуктами,,45.11,Торговля автомобилями,,0
72.19,Научные исследования в области естественных наук,,72.20,Научные исследования в области гуманитарных наук,,0
62.01,разраб. ПО системного уровня,,62.1,Разработка ПО,,1
BDU:2023-08834,УЯЗВИМОСТЬ APACHE HTTP SERVER,уязвимость mod_proxy apache,BDU:2024-00892,УЯЗВИМОСТЬ SSH CISCO IOS,атака человек посередине cisco,0
BDU:2023-08834,Уязвимость веб-сервера Apache HTTP Server связанная с переполнением буфера,Уязвимость модуля mod_proxy позволяет нарушителю выполнить произвольный код,BDU:2023-08834,УЯЗВИМОСТЬ ВЕБ-СЕРВЕРА APACHE HTTP SERVER,,1
62.01,Разработка программного обеспечения,,62.02,Деятельность консультативная в области IT,,0
45.11,Торговля автомобилями,,49.10,Перевозки железнодорожные,,0
72.19,Научные исследования,,85.22,Образование высшее,,0
BDU:2024-05512,Уязвимость компонента sudo операционных систем Linux и Unix,Уязвимость позволяет нарушителю повысить привилегии до уровня суперпользователя,BDU:2024-05512,уязвимость sudo linux повышение привилегий суперпользователь,уязвимость sudo повышение привилегий до root,1
86.10,Деятельность больничных организаций,,69.10,Деятельность в области права,,0
86.21,Общая врачебная практика,,86.22,Специальная врачебная практика,,0
86.10,Деятельность больничных организаций,,86.10,Деят. больничных организаций и стационаров,,1
BDU:2023-08834,Уязвимость Apache HTTP Server переполнение буфера,уязвимость apache позволяет выполнить произвольный код,BDU:2024-02341,Уязвимость Google Chrome использование памяти после освобождения,уязвимость chrome позволяет выполнить произвольный код,0
72.20,Научные исследования гуманитарных наук,,86.10,Деятельность больничных организаций,,0
85.11,Образование дошкольное,,85.1,Образов. дошкольное,,1
BDU:2024-02341,Уязвимость браузера Google Chrome связанная с использованием памяти после освобождения,Уязвимость компонента WebRTC позволяет нарушителю выполнить произвольный код,BDU:2024-02341,Уязвимость компонента WebRTC Google Chrome использование памяти после освобождения,уязвимость chrome webrtc выполнение произвольного кода нарушителем,1
62.01.1,Разработка ПО системного уровня,,62.01.1,Разработка системного программного обеспечения,,1
85.22,Образование высшее,,85.22,Образов. высшее,,1
BDU:2024-07123,Уязвимость службы SMB операционной системы Windows связанная с удалённым выполнением кода,Уязвимость позволяет нарушителю выполнить произвольный код без аутентификации,BDU:2024-07123,Уязвимость Windows SMB RCE без аутентификации,уязвимость smb windows rce удалённое выполнение произвольного кода,1
62.01,Разработка компьютерного программного обеспечения,,62.01,разраб. прогр. обеспеч.,,1
85.11,Образование дошкольное,,85.22,Образование высшее,,0
41.20,Строительство жилых и нежилых зданий,,41.20,Стр-во жилых и нежилых зданий и сооружений,,1
62.01,Разработка компьютерного программного обеспечения,,62.1,Разработка компьютерного ПО,,1
43.21,Производство электромонтажных работ,,43.21,Произв. электромонтажных и электротехнических работ,,1
