left_code,left_name,left_description,right_code,right_name,right_description,label
62.01,Разработка компьютерного программного обеспечения,Включает разработку системного ПО,62.01,разраб. компьютерного программного обеспечения,,1
62.01,Разработка компьютерного программного обеспечения,,62.01,разраб. прогр. обеспеч.,,1
62.01,Разработка компьютерного программного обеспечения,,62.1,Разработка компьютерного ПО,,1
62.01,РАЗРАБОТКА КОМПЬЮТЕРНОГО ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ,,62.01,Разработка компьютерного программного обеспечения,,1
62.01,Разработка программного обеспечения системного уровня,,62.01,разраб. ПО системного уровня,,1
62.02,Деятельность консультативная в области компьютерных технологий,,62.02,деят. консультативная в обл. компьютерных технологий,,1
62.02,Деятельность консультативная в области компьютерных технологий,,62.02,Деят. консультативная и работы в обл. компьютерных технологий,,1
62.09,Деятельность в области информационных технологий прочая,,62.09,деят. в обл. инф. технологий прочая,,1
62.09,Деятельность в области информационных технологий прочая,,62.09,Деятельность в обл. информ. технологий прочая,,1
63.11,Деятельность по обработке данных и размещению информации,,63.11,деят. по обработке данных и размещению информации,,1
63.11,Деятельность по обработке данных и размещению информации,,63.11,Деятельность по обработке данных и размещению информации,,1
63.12,Деятельность web-порталов,,63.12,деят. веб-порталов,,1
63.12,Деятельность web-порталов,,63.12,Деятельность WEB порталов,,1
47.91,Торговля розничная через интернет,,47.91,торговля розн. через инт.,,1
47.91,Торговля розничная через интернет,,47.91,ТОРГОВЛЯ РОЗНИЧНАЯ ЧЕРЕЗ ИНТЕРНЕТ,,1
47.91,Торговля розничная по почте или через интернет,,47.91,торговля розн. по инф.-комм. сети Интернет,,1
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.11,торговля розн. преим. пищевыми продуктами,,1
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.11,Торговля розн. пищевыми продуктами и напитками,,1
45.11,Торговля автомобилями и легкими автотранспортными средствами,,45.11,торговля автомобилями и легкими автотрансп. средствами,,1
45.11,Торговля автомобилями и легкими автотранспортными средствами,,45.11,Торговля автомобилями и легк. автотрансп. ср-вами,,1
41.20,Строительство жилых и нежилых зданий,,41.20,стр-во жилых и нежилых зданий,,1
41.20,Строительство жилых и нежилых зданий,,41.20,Стр-во жилых и нежилых зданий и сооружений,,1
43.21,Производство электромонтажных работ,,43.21,произв. электромонтажных работ,,1
43.21,Производство электромонтажных работ,,43.21,Произв. электромонтажных и электротехнических работ,,1
72.19,Научные исследования и разработки в области естественных наук,,72.19,науч. исслед. и разраб. в обл. естественных наук,,1
72.19,Научные исследования и разработки в области технических наук,,72.19,Науч. исследования и разраб. в обл. техн. наук,,1
72.20,Научные исследования и разработки в области гуманитарных наук,,72.20,науч. исслед. и разраб. в обл. гуманит. наук,,1
85.11,Образование дошкольное,,85.11,Образов. дошкольное,,1
85.11,Образование дошкольное,,85.11,ОБРАЗОВАНИЕ ДОШКОЛЬНОЕ,,1
85.22,Образование высшее,,85.22,Образов. высшее,,1
85.22,Образование высшее,,85.22,образование высшее,,1
86.10,Деятельность больничных организаций,,86.10,деят. больничных орг-ций,,1
86.10,Деятельность больничных организаций,,86.10,Деят. больничных организаций и стационаров,,1
49.10,Перевозки железнодорожные междугородные,,49.10,перевозки ж/д междугородные,,1
49.10,Перевозки железнодорожные пассажирские,,49.10,Перевозки ж.-д. пассажирские междугородные,,1
52.10,Хранение и складирование,,52.10,хранение и складирование грузов,,1
69.10,Деятельность в области права,,69.10,деят. в обл. права,,1
62.01.1,Разработка ПО системного уровня,,62.01.1,Разработка системного программного обеспечения,,1
47.91.2,Торговля розничная через интернет,,47.91.2,Интернет-торговля розничная,,1
62.01,Разработка программного обеспечения,,62.01,разработка и тестирование программного обеспечения,,1
62.01,Разработка компьютерного программного обеспечения,,47.91,Торговля розничная через интернет,,0
62.01,Разработка программного обеспечения,,62.02,Деятельность консультативная в области IT,,0
62.01,Разработка компьютерного программного обеспечения,,63.11,Деятельность по обработке данных,,0
62.02,Консультационные услуги в области IT,,62.09,Деятельность в области IT прочая,,0
62.09,Деятельность в области информационных технологий прочая,,63.12,Деятельность web-порталов,,0
47.91,Торговля розничная через интернет,,47.11,Торговля розничная пищевыми продуктами,,0
47.11,Торговля пищевыми продуктами,,45.11,Торговля автомобилями,,0
41.20,Строительство жилых зданий,,43.21,Производство электромонтажных работ,,0
72.19,Научные исследования,,85.22,Образование высшее,,0
86.10,Деятельность больничных организаций,,85.11,Образование дошкольное,,0
49.10,Перевозки железнодорожные,,52.10,Хранение и складирование,,0
69.10,Деятельность в области права,,62.01,Разработка программного обеспечения,,0
85.11,Образование дошкольное,,85.22,Образование высшее,,0
72.19,Научные исследования в области технических наук,,72.20,Научные исследования в области гуманитарных наук,,0
63.11,Деятельность по обработке данных,,63.12,Деятельность web-порталов,,0
47.91,Торговля розничная через интернет,,52.10,Хранение и складирование грузов,,0
62.01,Разработка ПО,,41.20,Строительство жилых зданий,,0
86.10,Деятельность больничных организаций,,69.10,Деятельность в области права,,0
45.11,Торговля автомобилями,,49.10,Перевозки железнодорожные,,0
72.20,Научные исследования гуманитарных наук,,86.10,Деятельность больничных организаций,,0
62.01,Разработка компьютерного программного обеспечения,,62.1,разраб. компьютерного ПО,,1
62.01,разраб. ПО системного уровня,,62.1,Разработка ПО,,1
47.91,Торговля розничная через интернет,,47.9,торговля розн. по сети интернет,,1
85.11,Образование дошкольное,,85.1,Образов. дошкольное,,1
49.10,Перевозки железнодорожные пассажирские,,49.1,перевозки ж.-д. пассажирские,,1
85.11,Образование дошкольное,,85.12,Образование начальное общее,,0
85.12,Образование начальное общее,,85.13,Образование основное общее,,0
85.13,Образование основное общее,,85.22,Образование высшее,,0
62.01,Разработка программного обеспечения,,62.02,Деятельность консультативная в области IT,,0
62.02,Деятельность консультативная в области компьютерных технологий,,62.09,Деятельность в области информационных технологий прочая,,0
47.11,Торговля розничная преимущественно пищевыми продуктами,,47.21,Торговля розничная фруктами и овощами,,0
